Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13,5.999000,6.005100,5.970800,6.000200,6.000200,0
2019-06-14,5.996800,5.998800,5.974300,5.994700,5.994700,0
2019-06-17,5.987300,5.998000,5.972600,5.988300,5.988300,0
2019-06-18,5.979500,6.009600,5.960400,5.979200,5.979200,0
2019-06-19,6.012700,6.017500,5.985600,6.008400,6.008400,0
2019-06-20,5.983600,5.984500,5.916900,5.980300,5.980300,0
2019-06-21,5.917700,5.935500,5.903300,5.918100,5.918100,0
2019-06-24,5.897900,5.915600,5.881400,5.896400,5.896400,0
2019-06-25,5.908400,5.937500,5.898400,5.906400,5.906400,0
2019-06-26,5.945300,5.955700,5.923500,5.943200,5.943200,0
2019-06-27,5.931400,5.965700,5.930700,5.931400,5.931400,0
2019-06-28,5.960900,5.985100,5.955100,5.959700,5.959700,0
2019-07-01,5.984000,5.984600,5.955700,5.984200,5.984200,0
2019-07-02,5.977700,5.995600,5.972400,5.977600,5.977600,0
2019-07-03,5.992200,6.014000,5.983900,5.991600,5.991600,0
2019-07-04,5.993900,6.004400,5.984300,5.994600,5.994600,0
2019-07-05,5.991300,6.014600,5.986200,5.990900,5.990900,0
2019-07-08,6.012300,6.033500,6.009200,6.009800,6.009800,0
2019-07-09,6.023900,6.024000,5.983000,6.023400,6.023400,0
2019-07-10,5.990500,5.992700,5.970600,5.987200,5.987200,0
2019-07-11,5.968000,5.973400,5.959700,5.968300,5.968300,0
2019-07-12,5.955500,5.989500,5.952400,5.955600,5.955600,0
2019-07-15,5.989000,6.011100,5.985600,5.988600,5.988600,0
2019-07-16,6.009600,6.019200,6.000500,6.008700,6.008700,0
2019-07-17,6.012900,6.020100,6.000900,6.013600,6.013600,0
2019-07-18,6.016900,6.060000,6.015600,6.017500,6.017500,0
2019-07-19,6.040300,6.049700,6.027100,6.040000,6.040000,0
2019-07-22,6.036700,6.060800,6.028500,6.037100,6.037100,0
2019-07-23,6.058400,6.096700,6.053100,6.056800,6.056800,0
2019-07-24,6.073500,6.076300,6.024500,6.074000,6.074000,0
2019-07-25,6.028500,6.036000,6.016000,6.029100,6.029100,0
2019-07-26,6.029700,6.039300,6.018700,6.029700,6.029700,0
2019-07-29,6.017700,6.028200,6.001400,6.017400,6.017400,0
2019-07-30,6.000800,6.024100,5.996100,5.999600,5.999600,0
2019-07-31,6.018100,6.052500,6.011300,6.017900,6.017900,0
2019-08-01,6.062900,6.087100,6.062100,6.064600,6.064600,0
2019-08-02,6.048900,6.072800,6.038300,6.050900,6.050900,0
2019-08-05,6.052000,6.054300,6.019800,6.053000,6.053000,0
2019-08-06,6.026800,6.054600,6.025800,6.026300,6.026300,0
2019-08-07,6.018200,6.062600,5.951400,6.018100,6.018100,0
2019-08-08,6.047600,6.094300,6.036600,6.047400,6.047400,0
2019-08-09,6.078100,6.084900,6.027500,6.076900,6.076900,0
2019-08-12,6.015300,6.053200,6.009800,6.010500,6.010500,0
2019-08-13,6.016900,6.056200,6.014600,6.017500,6.017500,0
2019-08-14,6.025100,6.055600,6.016500,6.026100,6.026100,0
