Date,Close,High,Low,Open,Volume
10/11/2020,113.1289444,114.7092525,111.3340172,112.7192354,138023400
11/11/2020,116.5626907,116.6992604,113.5874152,114.3190414,112295000
12/11/2020,116.289566,117.5772281,115.6652455,116.6895253,103162300
13/11/2020,116.338356,116.7383079,114.982409,116.5139467,81581900
16/11/2020,117.3528671,118.0259583,115.2555368,116.0066699,91183000
17/11/2020,116.4651642,117.7138054,116.0456981,116.6212481,74271000
18/11/2020,115.1384888,116.8846381,115.1092249,115.7042817,76322100
19/11/2020,115.7335281,116.1432371,113.9483581,114.7092483,74113000
20/11/2020,114.4653625,115.8603302,114.4165919,115.7335177,73604300
23/11/2020,111.0608826,114.7385287,110.9633339,114.3093055,127959300
24/11/2020,112.348526,113.0118674,109.8317299,111.1193993,113874200
25/11/2020,113.1874847,113.8898473,112.3485525,112.719248,76499200
27/11/2020,113.7337418,114.6116948,113.3728109,113.714235,46691300
30/11/2020,116.1334763,118.0064377,113.9483472,114.104431,169410200
01/12/2020,119.7135773,120.4452036,117.0699684,118.0454702,127728200
02/12/2020,120.0647659,120.3476624,117.9284146,119.0307289,89004200
03/12/2020,119.9281845,120.7476024,119.216065,120.4939699,78967600
04/12/2020,119.2550964,119.8501531,118.5429768,119.5965206,78260400
07/12/2020,120.7183304,121.5182414,119.2550779,119.3136056,86712000
08/12/2020,121.3329391,121.9182463,120.0745406,121.3231895,82225500
09/12/2020,118.796608,122.8644487,118.0357178,121.4792379,115089200
10/12/2020,120.2208328,120.8354037,117.206536,117.5479601,81312200
11/12/2020,119.4111786,119.7526027,117.5967447,119.4306854,86939800
14/12/2020,118.796608,120.3281455,118.5624896,119.5965191,79184500
15/12/2020,124.7471619,124.7666761,121.0890303,121.2938848,157243700
16/12/2020,124.6788864,125.2251651,123.4595091,124.2886916,98208600
17/12/2020,125.5470734,126.4055197,124.9032386,125.7421707,94359800
18/12/2020,123.557045,125.9372714,123.0302732,125.8007018,192541500
21/12/2020,125.0885773,125.1666192,120.4256804,121.9572177,121251600
22/12/2020,128.649231,131.1172503,126.4738504,128.3858412,168904800
23/12/2020,127.7517014,129.1856751,127.5761033,128.9223003,88223700
24/12/2020,128.736969,130.190472,127.8882872,128.1028988,54930100
28/12/2020,133.3413696,133.97544,130.2392656,130.7075172,124486200
29/12/2020,131.5659027,135.3898674,131.048888,134.6680057,121047300
30/12/2020,130.4441223,132.6585159,130.1319545,132.2585565,96452100
31/12/2020,129.4393158,131.4390971,128.493078,130.7952625,99116600
04/01/2021,126.2396851,130.3367894,123.6546039,130.2489978,143301900
05/01/2021,127.8004761,128.5126031,125.2836798,125.7324172,97664900
06/01/2021,123.4985199,127.8395071,123.2839083,124.5910845,155088000
07/01/2021,127.7126999,128.4053128,124.7276666,125.2154175,109578200
08/01/2021,128.815033,129.3808259,127.0396123,129.1857136,105158200
11/01/2021,125.8202362,126.9810859,125.3519994,126.0250982,100384500
12/01/2021,125.6446304,126.5128264,123.7521546,125.3519769,91951100
13/01/2021,127.6834335,128.2297122,125.3422351,125.6056099,88636800
14/01/2021,125.7519531,127.7907485,125.6056189,127.5956511,90221800
15/01/2021,124.0252991,127.0298464,123.8887294,125.6251214,111598500
19/01/2021,124.6984024,125.5568488,123.8302064,124.6496243,90757300
20/01/2021,128.7954865,129.2442238,125.4007447,125.5080505,104319500
21/01/2021,133.5169525,136.2483611,130.3173072,130.5221691,120150900
22/01/2021,135.6630402,136.4239304,131.712255,132.9413818,114459400
25/01/2021,139.4187164,141.5355536,133.1950101,139.5650506,157611700
26/01/2021,139.6528168,140.764888,137.9066605,140.0820399,98390600
27/01/2021,138.5797729,140.7649022,136.9702011,139.9162056,140843800
28/01/2021,133.7315521,138.5115204,133.351107,136.1020295,142621100
29/01/2021,128.7272034,133.3901,127.0200755,132.50239,177523800
01/02/2021,130.8537903,132.0634177,127.7224234,130.4733452,106239800
02/02/2021,131.6829681,132.9706225,131.3122728,132.4048298,83305400
03/02/2021,130.6586914,132.4438612,130.3367741,132.4340966,89880900
04/02/2021,134.0242004,134.0339501,131.2927922,132.960907,84183100
05/02/2021,133.608963,134.2537598,132.7297055,134.1853804,75693800
08/02/2021,133.7555389,133.8043899,131.811384,132.8958097,71297200
09/02/2021,132.8762665,134.703191,132.7199643,133.4722124,76774200
10/02/2021,132.2705688,133.8337103,131.3033734,133.3354513,73046600
11/02/2021,132.0165253,133.2474887,130.6878599,132.7687733,64280000
12/02/2021,132.2509918,132.4073089,130.6097072,131.2545039,60145100
16/02/2021,130.1212311,132.876249,129.7304384,132.3682408,80576300
17/02/2021,127.8253632,129.1735719,126.4869336,128.2259201,97918500
18/02/2021,126.7214508,127.0047626,124.4744405,126.2231918,96856700
19/02/2021,126.8777542,127.6984117,125.8324151,127.2392394,87668800
22/02/2021,123.0968857,126.7311759,122.7061004,125.0605687,103916400
23/02/2021,122.9601135,123.7905275,115.6622254,120.9085002,158273000
24/02/2021,122.4618988,122.6670594,119.4137893,122.0613492,111039900
25/02/2021,118.2023239,123.5462934,117.7626951,121.8073067,148199500
26/02/2021,118.4661255,121.9734069,118.4075028,119.7654761,164560400
01/03/2021,124.8456573,124.9824311,119.9608598,120.89874,116307900
02/03/2021,122.237175,125.7542277,122.1297088,125.4513726,102260900
03/03/2021,119.247673,122.8135767,119.0327408,121.9343116,112966300
04/03/2021,117.3621597,120.7522109,115.886956,118.944837,178155000
05/03/2021,118.6224365,119.1304597,114.8611434,118.1925794,153766600
08/03/2021,113.6790161,118.2121079,113.5324707,118.143721,154376600
09/03/2021,118.3000183,119.2476702,116.053016,116.2874842,129525800
10/03/2021,117.2155991,119.3551352,116.6978043,118.8861988,111943300
11/03/2021,119.1499863,120.3711857,118.4661176,119.7166246,103026500
12/03/2021,118.2414169,118.3781907,116.4145073,117.6259351,88105100
15/03/2021,121.1332169,121.1429885,117.6454714,118.6126668,92403800
16/03/2021,122.6768036,124.2887882,121.8463895,122.8038056,115227900
17/03/2021,121.8854599,122.9601138,119.5212124,121.1918196,111932600
18/03/2021,117.7529221,120.3418661,117.5477615,120.0487753,121229700
19/03/2021,117.2253876,118.6322119,116.9225325,117.1374648,185549500
22/03/2021,120.5470505,121.0159944,117.4891695,117.5575563,111912300
23/03/2021,119.7166138,121.3774419,119.3258285,120.4884126,95467100
24/03/2021,117.3230743,120.0683359,117.3035384,119.9901773,88530500
25/03/2021,117.8115463,118.8569002,116.2581842,116.7857433,98844700
26/03/2021,118.4172592,118.6810425,116.1800211,117.5770735,94071200
29/03/2021,118.5931244,119.7557087,117.9483349,118.847136,80819200
30/03/2021,117.1374435,117.6259233,116.1214048,117.3426041,85671900
31/03/2021,119.3356094,120.6740392,118.3586499,118.8471297,118323800
01/04/2021,120.1660233,121.3188358,119.6677718,120.8108201,75089100
05/04/2021,122.9992065,123.2532181,120.2344093,121.0159799,88651200
06/04/2021,123.302063,124.200864,122.754968,123.5853822,80171300
07/04/2021,124.953125,124.9726609,122.2567146,122.9308191,83466700
08/04/2021,127.3564606,127.3857682,125.5588584,125.9789439,88844600
09/04/2021,129.9356384,129.9747103,126.4869719,126.8093704,106686700
12/04/2021,128.2161865,129.7890921,127.6202406,129.4666937,91420000
13/04/2021,131.3326569,131.5573683,128.8902581,129.388517,91266500
14/04/2021,128.9879456,131.8895161,128.6264754,131.8309009,87222800
15/04/2021,131.401062,131.8895418,130.5608762,130.7367367,89347100
16/04/2021,131.068924,131.5671681,130.2091946,131.2056977,84922400
19/04/2021,131.7332001,132.3486893,130.267761,130.4338423,94264200
20/04/2021,130.0430908,132.4073312,128.7730404,131.9090872,94812300
21/04/2021,130.4240875,130.6683274,128.2747797,129.3103543,68847100
22/04/2021,128.9000092,131.0590808,128.3822219,129.9746554,84566500
23/04/2021,131.2252197,132.0067755,129.1149834,129.1149834,78657500
26/04/2021,131.6159821,131.9481447,130.4827055,131.7234482,66905100
27/04/2021,131.2936096,132.2901127,131.0200621,131.8993198,66015800
28/04/2021,130.5022583,131.9090824,130.0137785,131.2154346,107760100
29/04/2021,130.4045563,133.9118524,129.3982891,133.3256707,151101000
30/04/2021,128.4310913,130.4826971,128.0500777,128.7437106,109839500
03/05/2021,129.4862061,130.9809678,128.7925732,128.9977263,75135100
04/05/2021,124.904274,128.4604135,123.780769,128.1673227,137564700
05/05/2021,125.1485214,127.4443674,125.0215119,126.223168,84000900
06/05/2021,126.7507324,126.7604967,124.20086,124.9433514,78128300
07/05/2021,127.4260101,128.4535483,126.7116074,128.0523258,78973300
10/05/2021,124.1378174,126.7702974,124.0986717,126.6430871,88071200
11/05/2021,123.2179184,123.5702144,120.145048,120.8594431,126142800
12/05/2021,120.1450424,121.9750625,119.6361639,120.7615771,112172300
13/05/2021,122.2979889,123.4527593,121.6031705,121.9163282,105861300
14/05/2021,124.7249908,125.1555856,123.1592019,123.550651,81918000
17/05/2021,123.5702209,124.2161131,122.4937415,124.1084644,74244600
18/05/2021,122.1805725,124.2748164,122.1120695,123.85401,63342900
19/05/2021,122.0239944,122.2490726,120.23312,120.5267087,92612000
20/05/2021,124.5879974,124.9892349,122.4252501,122.5524753,76857100
21/05/2021,122.7481766,125.263227,122.5328792,125.0870753,79295400
24/05/2021,124.3824615,125.2045053,123.2472675,123.3157705,63092900
25/05/2021,124.1867447,125.5763893,123.6191439,125.0870723,72009500
26/05/2021,124.1378174,124.6662725,123.7170109,124.2454661,56575900
27/05/2021,122.6013718,124.9109129,122.405651,123.7365732,94625600
28/05/2021,121.945694,123.1102528,121.8869792,122.8851672,71311100
01/06/2021,121.6227646,122.6698866,121.2900377,122.4056628,67637100
02/06/2021,122.3860931,122.5622449,121.3976933,121.6227715,59278900
03/06/2021,120.8985825,122.1805709,120.4973451,122.0142074,76229200
04/06/2021,123.1983337,123.462565,121.2019503,121.4172476,75169300
07/06/2021,123.2081299,123.6191481,122.1610079,123.4723537,71057600
08/06/2021,124.0301743,125.7134077,123.5115074,123.8931682,74403800
09/06/2021,124.4118347,125.0185812,123.8148765,124.490126,56877900
10/06/2021,123.4136505,125.44918,123.2472871,124.30419,71186400
11/06/2021,124.6271286,124.7152082,123.4038548,123.8246613,53522400
14/06/2021,127.6902161,127.7489308,124.3531288,125.0870931,96906500
15/06/2021,126.8681564,127.8076372,126.6235017,127.1617451,62746300
16/06/2021,127.3672333,128.0914166,125.71338,127.5825306,91815000
17/06/2021,128.9721985,129.7159585,126.8779543,127.0247561,96721700
18/06/2021,127.6705933,128.6981309,127.455296,127.9152479,108953300
21/06/2021,129.471283,129.5789316,126.4473542,127.5140452,79663300
22/06/2021,131.1153412,131.213209,128.8058002,129.3049054,74783600
23/06/2021,130.8413391,131.448093,130.3813871,130.9098496,60214200
24/06/2021,130.5576019,131.7612995,130.0878539,131.5753594,68711000
25/06/2021,130.2639771,131.0272987,129.9703884,130.6064997,70783700
28/06/2021,131.8982849,132.3582371,130.4988667,130.5575815,62111300
29/06/2021,133.4151001,133.5716827,131.4774391,131.9178146,64556100
30/06/2021,134.0316467,134.4720222,132.9649408,133.2585295,63261400
01/07/2021,134.335022,134.3937367,132.8572979,133.6793491,52485800
02/07/2021,136.9674988,137.006637,134.8047446,134.9515314,78852600
06/07/2021,138.98349,140.0893194,137.0751857,137.0751857,108181800
07/07/2021,141.4789429,141.7920932,139.6097772,140.4709517,104911600
08/07/2021,140.1773529,140.9798125,137.6622956,138.5528422,105575500
